file:new-v1-GraphFPN.py, seed: 100
Epoch: 000, Loss: 0.72258, Train Acc: 0.44191, val Acc: 0.48499, Test Acc: 0.48499
Epoch: 001, Loss: 0.70804, Train Acc: 0.60161, val Acc: 0.59122, Test Acc: 0.59122
Epoch: 002, Loss: 0.69427, Train Acc: 0.59441, val Acc: 0.57737, Test Acc: 0.59122
Epoch: 003, Loss: 0.69943, Train Acc: 0.59297, val Acc: 0.55427, Test Acc: 0.59122
Epoch: 004, Loss: 0.69429, Train Acc: 0.59787, val Acc: 0.57506, Test Acc: 0.59122
Epoch: 005, Loss: 0.69040, Train Acc: 0.59210, val Acc: 0.59584, Test Acc: 0.59584
Epoch: 006, Loss: 0.68716, Train Acc: 0.59210, val Acc: 0.59353, Test Acc: 0.59584
Epoch: 007, Loss: 0.68205, Train Acc: 0.59383, val Acc: 0.57968, Test Acc: 0.59584
Epoch: 008, Loss: 0.68361, Train Acc: 0.59441, val Acc: 0.59122, Test Acc: 0.59584
Epoch: 009, Loss: 0.68571, Train Acc: 0.59412, val Acc: 0.60739, Test Acc: 0.60739
Epoch: 010, Loss: 0.68563, Train Acc: 0.58259, val Acc: 0.55889, Test Acc: 0.60739
Epoch: 011, Loss: 0.67831, Train Acc: 0.58922, val Acc: 0.54965, Test Acc: 0.60739
Epoch: 012, Loss: 0.68051, Train Acc: 0.56846, val Acc: 0.53118, Test Acc: 0.60739
Epoch: 013, Loss: 0.67519, Train Acc: 0.56616, val Acc: 0.53580, Test Acc: 0.60739
Epoch: 014, Loss: 0.68107, Train Acc: 0.56385, val Acc: 0.51732, Test Acc: 0.60739
Epoch: 015, Loss: 0.67328, Train Acc: 0.57509, val Acc: 0.54042, Test Acc: 0.60739
Epoch: 016, Loss: 0.67321, Train Acc: 0.58115, val Acc: 0.54965, Test Acc: 0.60739
Epoch: 017, Loss: 0.67451, Train Acc: 0.59008, val Acc: 0.57968, Test Acc: 0.60739
Epoch: 018, Loss: 0.67424, Train Acc: 0.58345, val Acc: 0.56582, Test Acc: 0.60739
Epoch: 019, Loss: 0.66877, Train Acc: 0.58922, val Acc: 0.55658, Test Acc: 0.60739
Epoch: 020, Loss: 0.66749, Train Acc: 0.60190, val Acc: 0.56351, Test Acc: 0.60739
Epoch: 021, Loss: 0.66571, Train Acc: 0.60565, val Acc: 0.56813, Test Acc: 0.60739
Epoch: 022, Loss: 0.66471, Train Acc: 0.60161, val Acc: 0.55889, Test Acc: 0.60739
Epoch: 023, Loss: 0.66846, Train Acc: 0.62006, val Acc: 0.59122, Test Acc: 0.60739
Epoch: 024, Loss: 0.67279, Train Acc: 0.60594, val Acc: 0.58661, Test Acc: 0.60739
Epoch: 025, Loss: 0.66602, Train Acc: 0.59988, val Acc: 0.56120, Test Acc: 0.60739
Epoch: 026, Loss: 0.66136, Train Acc: 0.60306, val Acc: 0.57044, Test Acc: 0.60739
Epoch: 027, Loss: 0.67277, Train Acc: 0.60997, val Acc: 0.62125, Test Acc: 0.62125
Epoch: 028, Loss: 0.66374, Train Acc: 0.61516, val Acc: 0.58891, Test Acc: 0.62125
Epoch: 029, Loss: 0.66148, Train Acc: 0.62295, val Acc: 0.58199, Test Acc: 0.62125
Epoch: 030, Loss: 0.66795, Train Acc: 0.61574, val Acc: 0.59122, Test Acc: 0.62125
Epoch: 031, Loss: 0.65477, Train Acc: 0.61286, val Acc: 0.60277, Test Acc: 0.62125
Epoch: 032, Loss: 0.65963, Train Acc: 0.61199, val Acc: 0.58891, Test Acc: 0.62125
Epoch: 033, Loss: 0.65763, Train Acc: 0.61113, val Acc: 0.59815, Test Acc: 0.62125
Epoch: 034, Loss: 0.65501, Train Acc: 0.59758, val Acc: 0.57968, Test Acc: 0.62125
Epoch: 035, Loss: 0.65727, Train Acc: 0.60796, val Acc: 0.58661, Test Acc: 0.62125
Epoch: 036, Loss: 0.65793, Train Acc: 0.60969, val Acc: 0.60277, Test Acc: 0.62125
Epoch: 037, Loss: 0.64780, Train Acc: 0.61401, val Acc: 0.59122, Test Acc: 0.62125
Epoch: 038, Loss: 0.65448, Train Acc: 0.62727, val Acc: 0.58661, Test Acc: 0.62125
Epoch: 039, Loss: 0.65521, Train Acc: 0.62554, val Acc: 0.56813, Test Acc: 0.62125
Epoch: 040, Loss: 0.65538, Train Acc: 0.62842, val Acc: 0.57968, Test Acc: 0.62125
Epoch: 041, Loss: 0.64161, Train Acc: 0.64543, val Acc: 0.59122, Test Acc: 0.62125
Epoch: 042, Loss: 0.64352, Train Acc: 0.62641, val Acc: 0.56582, Test Acc: 0.62125
Epoch: 043, Loss: 0.65629, Train Acc: 0.61949, val Acc: 0.57044, Test Acc: 0.62125
Epoch: 044, Loss: 0.64756, Train Acc: 0.62295, val Acc: 0.56813, Test Acc: 0.62125
Epoch: 045, Loss: 0.64868, Train Acc: 0.62871, val Acc: 0.58661, Test Acc: 0.62125
Epoch: 046, Loss: 0.64694, Train Acc: 0.64140, val Acc: 0.60508, Test Acc: 0.62125
Epoch: 047, Loss: 0.63880, Train Acc: 0.65321, val Acc: 0.62818, Test Acc: 0.62818
Epoch: 048, Loss: 0.64109, Train Acc: 0.64687, val Acc: 0.58891, Test Acc: 0.62818
Epoch: 049, Loss: 0.64058, Train Acc: 0.64975, val Acc: 0.60046, Test Acc: 0.62818
Epoch: 050, Loss: 0.64222, Train Acc: 0.64572, val Acc: 0.60508, Test Acc: 0.62818
Epoch: 051, Loss: 0.63515, Train Acc: 0.65033, val Acc: 0.60277, Test Acc: 0.62818
Epoch: 052, Loss: 0.64287, Train Acc: 0.62986, val Acc: 0.60277, Test Acc: 0.62818
Epoch: 053, Loss: 0.63485, Train Acc: 0.63390, val Acc: 0.58430, Test Acc: 0.62818
Epoch: 054, Loss: 0.64047, Train Acc: 0.64370, val Acc: 0.60277, Test Acc: 0.62818
Epoch: 055, Loss: 0.63916, Train Acc: 0.63621, val Acc: 0.59353, Test Acc: 0.62818
Epoch: 056, Loss: 0.63452, Train Acc: 0.65840, val Acc: 0.61894, Test Acc: 0.62818
Epoch: 057, Loss: 0.63135, Train Acc: 0.64601, val Acc: 0.59584, Test Acc: 0.62818
Epoch: 058, Loss: 0.63473, Train Acc: 0.65177, val Acc: 0.60046, Test Acc: 0.62818
Epoch: 059, Loss: 0.62606, Train Acc: 0.66215, val Acc: 0.63741, Test Acc: 0.63741
Epoch: 060, Loss: 0.61617, Train Acc: 0.66619, val Acc: 0.60739, Test Acc: 0.63741
Epoch: 061, Loss: 0.62840, Train Acc: 0.66907, val Acc: 0.62818, Test Acc: 0.63741
Epoch: 062, Loss: 0.62274, Train Acc: 0.65725, val Acc: 0.63510, Test Acc: 0.63741
Epoch: 063, Loss: 0.62558, Train Acc: 0.66157, val Acc: 0.60970, Test Acc: 0.63741
Epoch: 064, Loss: 0.62336, Train Acc: 0.67656, val Acc: 0.63972, Test Acc: 0.63972
Epoch: 065, Loss: 0.61264, Train Acc: 0.69069, val Acc: 0.63048, Test Acc: 0.63972
Epoch: 066, Loss: 0.62081, Train Acc: 0.66417, val Acc: 0.63279, Test Acc: 0.63972
Epoch: 067, Loss: 0.61151, Train Acc: 0.66042, val Acc: 0.59584, Test Acc: 0.63972
